match_id,teams,pace
38,URU - SWE,27.2727272727273
19,FRA - KSA,29.5081967213115
32,CRO - USA,29.7520661157025
5,CPV - URU,30.2521008403361
34,IRI - ESP,30.7692307692308
9,ARG - NED,31.304347826087
31,EGY - MAR,31.5789473684211
36,SLO - FRA,31.5789473684211
39,KOR - ISL,31.5789473684211
10,NOR - MKD,32.1428571428572
37,BRA - CPV,32.7272727272727
18,ESP - CHI,33.0275229357798
3,ESP - MNE,33.3333333333333
11,SRB - ALG,33.3333333333333
15,MAR - USA,33.3333333333333
21,BRA - URU,33.3333333333333
22,SWE - CPV,33.3333333333333
25,MKD - NED,33.3333333333333
17,MNE - IRI,33.6448598130841
33,MNE - CHI,33.6448598130841
24,ISL - HUN,34.2857142857143
6,SWE - BRA,34.6153846153846
14,DEN - BEL,34.6153846153846
29,BEL - TUN,34.6153846153846
40,POR - HUN,34.6153846153846
28,QAT - ALG,34.9514563106796
2,CHI - IRI,35.2941176470588
4,KSA - SLO,35.2941176470588
27,GER - SRB,35.2941176470588
30,DEN - BRN,35.2941176470588
7,HUN - KOR,35.6435643564357
12,GER - QAT,35.6435643564357
23,POR - KOR,36
26,NOR - ARG,36.3636363636364
16,EGY - CRO,37.1134020618557
1,FRA - POL,38.2978723404255
13,BRN - TUN,39.1304347826087
20,POL - SLO,39.1304347826087
35,POL - KSA,39.1304347826087
8,ISL - POR,41.8604651162791
